Nr	Locus	Phase	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	301	302	303	304	305	306	307	308	309	310	311	312	313	314	315	316	317	318	319	320	321	322
(Individual:)			4	8	9	10	11	12	16	17	20	22	25	30	33	34	38	39	41	44	45	48	52	58	61	64	66	71	75	81	86	87	91	93	96	99	100	104	107	110	114	115	116	120	122	125	129	131	136	137	138	139	142	143	144	145	150	153	156	159	161	169	171	176	179	181	182	188	192	194	196	200	203	205	213	214	215	226	228	230	234	235	237	240	244	247	251	258	261	262	266	270	271	274	275	276	277	281	283	287	292	295	298	299	300	305	307	310	314	322	325	327	328	331	335	337	341	347	348	349	354	358	360	361	362	365	367	368	371	372	373	375	379	381	384	388	390	391	392	394	395	397	398	400	402	409	412	413	415	417	418	419	420	423	427	428	429	430	433	434	435	441	447	448	449	451	452	453	454	461	462	466	470	472	477	478	479	483	484	485	489	491	492	493	499	503	505	511	513	514	515	516	522	524	528	529	532	534	535	538	543	544	545	549	552	553	554	555	556	558	560	566	570	576	577	581	582	586	587	588	591	595	598	602	605	611	619	620	621	622	626	630	632	636	638	639	640	641	654	659	663	667	668	672	673	676	679	681	688	689	693	697	698	701	702	706	712	716	720	721	724	726	731	738	739	745	746	748	751	753	755	757	758	759	760	761	764	769	773	777	779	780	784	789	792	794	795	800	803	804	807	815	819	820	821	824	825	831	833	834	836	838	839	842	843	848	851	853	855	856	859	861	865	870	871	872	875	879	882	884	885	888	891	894
21	tig00000238_le	{1}	a	b	b	b	a	b	b	a	a	a	b	a	b	b	b	a	b	a	a	a	b	b	b	b	b	b	a	a	a	b	b	b	a	b	a	a	a	b	b	a	a	a	b	b	a	b	a	a	b	a	b	b	a	a	b	b	b	a	b	a	b	b	b	a	a	b	a	a	a	b	a	b	a	b	b	b	a	b	a	a	a	b	a	a	a	a	b	b	b	b	b	b	b	a	b	a	b	b	a	a	b	a	a	a	b	a	a	a	a	b	b	a	a	a	a	a	b	b	a	a	b	a	a	a	b	a	b	a	a	a	a	b	a	a	a	b	a	a	a	b	a	a	b	b	a	a	b	b	b	a	a	a	b	b	a	a	a	a	b	b	b	a	a	a	b	b	a	b	a	a	a	b	b	a	a	a	b	b	a	a	a	a	b	b	a	b	b	b	a	a	b	a	a	b	a	a	b	b	b	a	b	b	a	b	b	b	b	b	a	a	a	b	a	b	a	a	a	a	a	b	a	b	a	b	a	a	a	b	b	a	a	b	b	b	a	b	b	b	a	a	b	a	b	b	b	b	b	a	b	a	b	b	a	b	b	a	b	b	b	a	b	b	a	a	a	a	b	a	b	a	a	a	b	a	a	a	a	b	a	b	a	a	a	b	b	b	b	a	a	b	b	a	a	a	b	a	b	b	a	b	b	a	b	b	b	b	b	b	a	b	b	b	b	b	b	b	b	a	a	b	a	b
22	tig00000238_ri	{1}	a	b	b	b	a	b	b	a	a	a	b	a	b	b	b	a	b	a	a	a	b	b	b	b	b	b	a	a	a	b	b	b	a	b	a	a	a	b	b	a	a	a	b	b	a	b	a	a	b	a	b	b	a	a	b	b	b	a	b	a	b	b	b	a	a	b	a	a	a	b	a	b	a	b	b	b	a	b	a	a	a	b	a	a	a	a	b	b	b	b	b	b	b	a	b	a	b	b	a	a	b	a	a	a	b	a	a	a	a	b	b	a	a	a	a	a	b	b	a	a	b	a	a	a	b	a	b	a	a	a	a	b	a	a	a	b	a	a	a	b	a	a	b	b	a	a	b	b	b	a	a	a	b	b	a	a	a	a	b	b	b	a	a	a	b	b	a	b	a	a	a	b	b	a	a	a	b	b	a	a	a	a	b	b	a	b	b	b	a	a	b	a	a	b	a	a	b	b	b	a	b	b	a	b	b	b	b	b	a	a	a	b	a	b	a	a	a	a	a	b	a	b	a	b	a	a	a	b	b	a	a	b	b	b	a	b	b	b	a	a	b	a	b	b	b	b	b	a	b	a	b	b	a	b	b	a	b	b	b	a	b	b	a	a	a	a	b	a	b	a	a	a	b	a	a	a	a	b	a	b	a	a	a	b	b	b	b	a	a	b	b	a	a	a	b	a	b	b	a	b	b	a	b	b	b	b	b	b	a	b	b	b	b	b	b	b	b	a	a	b	a	b
23	tig00000244_le	{0}	b	a	b	a	b	a	a	b	b	b	a	b	a	a	b	b	b	a	b	b	a	a	a	a	a	a	b	b	b	a	a	a	b	a	b	b	b	a	a	b	b	b	a	a	b	a	b	a	a	b	a	a	a	b	a	a	a	b	b	b	a	a	a	a	b	a	b	b	b	a	b	a	b	a	a	a	b	a	b	b	b	a	b	b	b	b	a	a	a	a	a	a	a	a	a	b	a	a	b	b	a	b	b	b	a	b	b	b	b	a	a	b	b	b	b	a	a	a	b	b	a	b	b	b	a	b	a	b	b	b	b	a	b	b	b	a	b	b	b	a	b	b	a	a	b	b	a	a	b	b	b	b	a	a	b	b	a	b	a	a	a	b	a	b	a	a	b	a	b	b	b	a	b	b	b	b	a	a	b	b	b	b	b	a	b	a	a	a	b	b	a	b	b	a	b	b	a	a	a	b	a	a	b	a	a	a	a	a	b	b	b	a	b	a	b	b	b	b	b	b	b	a	b	a	b	b	b	a	a	a	b	a	a	a	b	a	a	a	b	b	a	b	a	a	a	a	a	b	a	b	a	a	b	a	a	b	a	a	a	b	a	a	b	b	b	b	a	b	a	b	b	b	a	b	a	b	b	a	b	a	b	b	b	b	a	a	a	b	b	a	a	a	b	b	a	b	a	a	a	a	a	b	a	a	a	a	a	a	a	a	a	a	b	a	a	a	a	b	b	a	b	a
24	tig00000244_ri	{0}	b	a	b	a	b	a	a	b	b	b	a	b	a	a	b	b	b	a	b	b	a	a	a	a	a	a	b	b	b	a	a	a	b	a	b	b	b	a	a	b	b	b	a	a	b	a	b	a	a	b	a	a	a	b	a	a	a	b	b	b	a	a	a	a	b	a	b	b	b	a	b	a	b	a	a	a	b	a	b	b	b	a	b	b	b	b	a	a	a	a	a	a	a	a	a	b	a	a	b	b	a	b	b	b	a	b	b	b	b	a	a	b	b	b	b	a	a	a	b	b	a	b	b	b	a	b	a	b	b	b	b	a	b	b	b	a	b	b	b	a	b	b	a	a	b	b	a	a	b	b	b	b	a	a	b	b	a	b	a	a	a	b	a	b	a	a	b	a	b	b	b	a	b	b	b	b	a	a	b	b	b	b	b	a	b	a	a	a	b	b	a	b	b	a	b	b	a	a	a	b	a	a	b	a	a	a	a	a	b	b	b	a	b	a	b	b	b	b	b	b	b	a	b	a	b	b	b	a	a	a	b	a	a	a	b	a	a	a	b	b	a	b	a	a	a	a	a	b	a	b	a	a	b	a	a	b	a	a	a	b	a	a	b	b	b	b	a	b	a	b	b	b	a	b	a	b	b	a	b	a	b	b	a	b	a	a	a	b	b	a	a	a	b	b	a	b	a	a	a	a	a	b	a	a	a	a	a	a	a	a	a	a	b	a	a	a	a	b	b	a	b	a
29	tig00000326_le	{0}	b	a	a	a	b	a	a	b	b	b	a	b	a	a	a	b	b	a	b	b	a	a	a	a	a	a	b	b	b	a	a	a	b	a	b	b	b	a	a	b	b	b	a	a	b	a	b	b	a	b	a	a	b	b	a	a	a	b	b	b	a	a	a	b	b	a	b	b	b	a	b	a	b	a	a	a	b	a	b	b	b	a	b	b	b	b	a	a	a	a	a	a	a	b	a	b	a	a	b	b	a	b	b	b	a	b	b	b	b	a	a	b	b	b	b	a	a	a	b	b	a	b	b	b	a	b	a	b	b	b	b	a	b	b	b	a	b	b	b	a	b	b	a	a	b	b	a	a	a	b	b	b	a	a	b	b	b	b	a	a	a	b	b	b	a	a	b	a	b	b	b	a	b	b	b	b	a	a	b	b	b	b	a	a	b	a	a	a	b	b	a	b	b	a	b	b	a	a	a	b	a	a	b	a	a	a	a	a	b	b	b	a	b	a	b	b	b	b	b	a	b	a	b	a	b	b	b	a	a	a	b	a	a	a	b	a	a	a	b	b	a	b	a	a	a	a	a	b	a	b	a	a	b	a	a	b	a	a	a	b	a	a	b	b	b	b	a	b	a	b	b	b	a	b	b	b	b	a	b	a	b	b	b	a	a	a	a	b	b	a	a	b	b	b	a	b	a	a	b	a	a	b	a	a	a	a	a	a	b	a	a	a	a	a	a	a	a	b	b	a	b	a
30	tig00000326_ri	{0}	b	a	a	a	b	a	a	b	b	b	a	b	a	a	a	b	b	a	b	b	a	a	a	a	a	a	b	b	b	a	a	a	b	a	b	b	b	a	a	b	b	b	a	a	b	a	b	b	a	b	a	a	b	b	a	a	a	b	b	b	a	a	a	b	b	a	b	b	b	a	b	a	b	a	a	a	b	a	b	b	b	a	b	b	b	b	a	a	a	a	a	a	a	b	a	b	a	a	b	b	a	b	b	b	a	b	b	b	b	a	a	b	b	b	b	a	a	a	b	b	a	b	b	b	a	b	a	b	b	b	b	a	b	b	b	a	b	b	b	a	b	b	a	a	b	b	a	a	a	b	b	b	a	a	b	b	b	b	a	a	a	b	b	b	a	a	b	a	b	b	b	a	a	b	b	b	a	a	b	b	b	b	a	a	b	a	a	a	b	b	a	b	b	a	b	b	a	a	a	b	a	a	b	a	a	a	a	a	b	b	b	a	b	a	b	b	b	b	b	a	b	a	b	a	b	b	b	a	a	a	b	a	a	a	b	a	a	a	b	b	a	b	a	a	a	a	a	b	a	b	a	a	b	a	a	b	a	a	a	b	a	a	b	b	b	b	a	b	a	b	b	b	a	b	b	b	b	a	b	a	b	b	b	a	a	a	a	b	b	a	a	b	b	b	a	b	a	a	b	a	a	b	a	a	a	a	a	a	b	a	a	a	a	a	a	a	a	b	b	a	b	a
67	tig00000650_le	{0}	b	a	b	a	b	a	a	b	b	b	a	b	-	a	a	b	-	a	b	b	-	a	a	a	a	a	b	-	-	a	-	a	b	a	b	b	b	a	a	b	b	b	a	a	b	a	b	a	a	b	a	a	a	b	a	a	a	b	-	b	-	a	a	a	b	a	b	b	b	-	b	a	b	-	a	a	-	a	b	b	b	a	b	b	-	b	a	a	a	a	a	a	a	b	a	b	a	a	b	-	a	b	b	b	a	b	b	-	b	a	a	b	b	-	b	b	a	-	b	b	a	b	b	b	a	b	a	b	b	b	b	-	b	b	b	a	b	b	b	a	b	b	a	a	b	b	a	a	a	b	b	-	-	a	b	-	b	b	-	a	a	b	b	b	a	a	-	-	b	b	b	a	b	b	b	b	a	-	b	b	b	b	a	a	b	a	a	a	b	-	a	b	b	a	b	b	a	a	a	b	a	a	b	a	a	a	a	a	b	b	b	a	b	b	b	-	b	b	b	b	b	a	b	a	b	b	b	-	a	a	b	a	a	a	b	a	a	a	b	b	-	b	a	a	a	a	a	b	a	b	a	a	b	a	a	b	a	a	a	-	a	a	b	b	b	b	a	b	a	b	b	-	a	b	b	b	b	a	b	a	b	-	b	a	a	a	a	b	b	a	a	b	-	b	-	b	a	a	-	a	a	b	a	a	a	a	a	a	a	a	a	a	a	a	-	a	a	b	b	-	b	a
68	tig00000650_ri	{0}	b	a	b	a	b	a	a	b	b	b	a	b	-	a	a	b	-	a	b	b	-	a	a	a	a	a	b	-	-	a	-	a	b	a	b	b	b	a	a	b	b	b	a	a	b	a	b	a	a	b	a	a	a	b	a	a	a	b	-	b	-	a	a	a	b	a	b	b	b	-	b	a	b	-	a	a	-	a	b	b	b	a	b	b	-	b	a	a	a	a	a	a	a	b	a	b	a	a	b	-	a	b	b	b	a	b	b	-	b	a	a	b	b	-	b	b	a	-	b	b	a	b	b	b	a	b	a	b	b	b	b	-	b	b	b	a	b	b	b	a	b	b	a	a	b	b	a	a	a	b	b	-	-	a	b	-	b	b	-	a	a	b	b	b	a	a	-	-	b	b	b	a	b	b	b	b	a	-	b	b	b	b	a	a	b	a	a	a	b	-	a	b	b	a	b	b	a	a	a	b	a	a	b	a	a	a	a	a	b	b	b	a	b	b	b	-	b	b	b	b	b	a	b	a	b	b	b	-	a	a	b	a	a	a	b	a	a	a	b	b	-	b	a	a	a	a	a	b	a	b	a	a	b	a	a	b	a	a	a	-	a	a	b	b	b	b	a	b	a	b	b	-	a	b	b	b	b	a	b	a	b	-	b	a	a	a	a	b	b	a	a	b	-	b	-	b	a	a	-	a	a	b	a	a	a	a	a	a	a	a	a	a	a	a	-	a	a	b	b	-	b	a
71	tig00000658_le	{1}	a	b	a	b	a	b	b	a	a	a	b	a	b	b	b	a	a	-	a	a	b	-	b	-	b	b	-	-	a	b	b	b	a	b	a	a	a	-	-	a	a	a	-	b	a	b	a	b	b	a	-	b	b	a	b	-	b	-	-	a	b	b	b	b	a	b	a	a	a	b	-	b	-	b	-	b	a	b	a	a	a	b	-	-	a	a	b	-	-	b	-	b	b	-	b	a	b	b	-	a	b	a	a	a	b	a	-	a	a	b	b	a	a	a	-	b	b	b	a	a	-	a	a	-	b	a	b	a	a	a	a	-	-	a	-	-	a	-	-	b	-	a	b	b	-	a	b	b	b	a	a	a	-	b	a	-	-	a	b	-	-	a	a	a	-	-	a	b	a	-	a	-	a	a	a	a	b	b	a	a	a	-	b	b	-	b	b	b	-	a	b	-	a	b	a	a	b	b	b	a	b	b	a	b	b	b	b	b	a	a	-	-	a	b	-	a	a	a	-	-	-	b	a	b	a	a	a	-	-	b	a	b	b	b	a	b	-	b	a	a	-	a	b	b	b	-	b	a	b	-	b	-	a	b	b	-	b	b	b	a	b	b	a	a	-	a	-	a	b	a	-	a	b	a	-	a	a	b	a	b	a	a	-	b	b	-	b	a	a	b	-	a	-	a	-	a	b	b	-	b	b	a	b	b	b	b	b	b	b	-	b	b	b	b	-	b	b	a	a	b	a	b
