#contig-id	start-pos	end-pos	start-index	end-index	region-pat	PM-cluster	pollen-id_x
# note: the first region will be left-extended to coordinate 1 on contig 
#       the last region will be right-extended to coordinate contig-size 
tig00004003_pilon	1	51336	1	145	M	0_m	4_x
tig00004003_pilon	1	51336	1	145	M	0_m	5_x
tig00004003_pilon	1	51336	1	145	M	0_m	7_x
tig00004003_pilon	1	51336	1	145	M	0_m	8_x
tig00004003_pilon	1	51336	1	145	M	0_m	9_x
tig00004003_pilon	1	51336	1	145	M	0_m	10_x
tig00004003_pilon	1	51336	1	145	M	0_m	11_x
tig00004003_pilon	1	51336	1	145	M	0_m	12_x
tig00004003_pilon	1	51336	1	145	M	0_m	13_x
tig00004003_pilon	1	51336	1	145	M	0_m	14_x
tig00004003_pilon	1	51336	1	145	M	0_m	17_x
tig00004003_pilon	1	51336	1	145	M	0_m	20_x
tig00004003_pilon	1	51336	1	145	M	0_m	21_x
tig00004003_pilon	1	51336	1	145	M	0_m	24_x
tig00004003_pilon	1	51336	1	145	M	0_m	25_x
tig00004003_pilon	1	51336	1	145	M	0_m	26_x
tig00004003_pilon	1	51336	1	145	M	0_m	28_x
tig00004003_pilon	1	51336	1	145	M	0_m	30_x
tig00004003_pilon	1	51336	1	145	M	0_m	33_x
tig00004003_pilon	1	51336	1	145	M	0_m	34_x
tig00004003_pilon	1	51336	1	145	M	0_m	35_x
tig00004003_pilon	1	51336	1	145	M	0_m	37_x
tig00004003_pilon	1	51336	1	145	M	0_m	38_x
tig00004003_pilon	1	51336	1	145	M	0_m	39_x
tig00004003_pilon	1	51336	1	145	M	0_m	41_x
tig00004003_pilon	1	51336	1	145	M	0_m	43_x
tig00004003_pilon	1	51336	1	145	M	0_m	45_x
tig00004003_pilon	1	51336	1	145	M	0_m	46_x
tig00004003_pilon	1	51336	1	145	M	0_m	47_x
tig00004003_pilon	1	51336	1	145	M	0_m	48_x
tig00004003_pilon	1	51336	1	145	M	0_m	51_x
tig00004003_pilon	1	51336	1	145	M	0_m	52_x
tig00004003_pilon	1	51336	1	145	M	0_m	56_x
tig00004003_pilon	1	51336	1	145	M	0_m	58_x
tig00004003_pilon	1	51336	1	145	M	0_m	59_x
tig00004003_pilon	1	31723	1	131	M	0_m	61_x
tig00004003_pilon	31763	31763	132	132	P	0_m	61_x
tig00004003_pilon	31822	51336	133	145	M	0_m	61_x
tig00004003_pilon	1	51336	1	145	M	0_m	64_x
tig00004003_pilon	1	51336	1	145	M	0_m	66_x
tig00004003_pilon	1	51336	1	145	M	0_m	67_x
tig00004003_pilon	1	51336	1	145	M	0_m	68_x
tig00004003_pilon	1	51336	1	145	M	0_m	82_x
tig00004003_pilon	1	51336	1	145	M	0_m	83_x
tig00004003_pilon	1	51336	1	145	M	0_m	84_x
tig00004003_pilon	1	51336	1	145	M	0_m	93_x
tig00004003_pilon	1	51336	1	145	M	0_m	99_x
tig00004003_pilon	1	51336	1	145	M	0_m	100_x
tig00004003_pilon	1	51336	1	145	M	0_m	110_x
tig00004003_pilon	1	51336	1	145	M	0_m	114_x
tig00004003_pilon	1	51336	1	145	M	0_m	116_x
tig00004003_pilon	1	51336	1	145	M	0_m	129_x
tig00004003_pilon	1	51336	1	145	M	0_m	138_x
tig00004003_pilon	1	51336	1	145	M	0_m	143_x
tig00004003_pilon	1	51336	1	145	M	0_m	144_x
tig00004003_pilon	1	51336	1	145	M	0_m	149_x
